ID;PRODUCTNAME;CODE
144;Kapradinový koš L;5118
145;Kapradinový koš M;5119
146;Kapradinový koš XL;5117
147;Kapradinový košík;5223
148;Kapradinový košík malý;5327
149;Kapradinový košík obdélník set 4 kusy;5367+5368+5369+5370
150;Kapradinový košík střední;5326
151;Kapradinový košík velký;5324
152;Kapradinový prádelní koš rohový;5093
153;Keramický obal vzor 1426 - set 3 kusy;41056
154;Keramický obal vzor 1489 - set 3 kusy;41053
155;Keramický obal vzor 1753 - set 3 kusy;41055
156;Keramický obal vzor 1877 - set 3 kusy;41051
157;Keramický obal vzor 1885 - set 3 kusy;41054
158;Keramický obal vzor 1890 - set 3 kusy;41057
159;Keramický obal vzor 1896 - set 3 kusy;41052
160;Keramický obal vzor 5618 - set 3 kusy;41058
161;Klepač na koberce ratan;5006
162;Kočka cong 42 cm;42189
163;Kočka cong 52 cm;42188
164;Kočka india černá;42122
165;Kočka líná 23 cm;42187
166;Kočka líná 27 cm;42186
167;Kočka líná 30 cm;42185
168;Kolekce bambus 1;110118
169;Kolekce bambus 2;110119
170;Kolekce ratanového nábytku AXIN 2;110112
171;Kolekce ratanového nábytku AXIN 8;110122
172;Komoda mořské řasy 2 zásuvky;1142
173;Komoda Sylvana 2 zásuvky ratan kubu;1542
174;Komoda Sylvana 3 zásuvky ratan kubu ;1543
175;Komoda Sylvana 4 zásuvky ratan kubu ;1544
176;Komoda vodní hyacint 2 zásuvky;1114
177;Komoda vodní hyacint 3 zásuvky;1139
178;Komoda vodní hyacint 3 zásuvky - vzhledové vady;1140
179;Koš bambus nízký;70102
180;Koš bambus velký;70101
181;Koš bílý ratan s víkem;5575
182;Koš bílý ratan s víkem;5576
183;Koš dvojuchý zelený velký;445029
184;Koš dvoujuchý zelený malý;445027
185;Koš dvoujuchý zelený střední;445028
186;Koš ke krbu čalouněný;445005
187;Koš ke krbu menší;445047
188;Koš ke krbu velký;445048
189;Koš na dřevo vrbový  A2;445006 A2
190;Koš prádelní kulatý malý;70098
191;Koš prádelní kulatý střední;70097
192;Koš prádelní kulatý velký;70096
193;Koš prádelní ratanový kulatý;5671
194;Koš prádelní ratanový oválný malý;5666
195;Koš prádelní ratanový oválný velký;5665
196;Koš prádelní velký;70092
197;Koš prádelní vrba s víkem kulatý  VELKÝ;70000
198;Koš prádelní vrba s víkem ovál Č;70006
199;Koš s uchy malý M;5723
200;Koš s uchy střední L;5722
201;Koš s uchy velký XL;5721
202;Koš s víkem barevný ;5312
203;Koš s víkem barevný průplet OR;5305
204;Koš s víkem barevný průplet OR;5306
205;Koš s víkem barevný velký;5311
206;Koš s víkem kulatý;50029
207;Koš s víkem mořská tráva;5307
208;Koš s víkem mořská tráva malý;5308
209;Koš s víkem vodní hyacint střední;5589
210;Koš s víkem vodní hyacint zúžený malý;5593
211;Koš s víkem vodní hyacint zúžený střední;5592
212;Koš s víkem vodní hyacint zúžený velký;5591
213;Koš vrba světlý;70069
214;Koš vrba světlý s víkem;70067
215;Koš vrba světlý s víkem;70068
216;Koš vrba ucha kulatý Č;70012
217;Koš vrba ucha kulatý Č;70013
218;Koš vrba ucha kulatý Č;70014
219;Koš vrba zelený dř. ucha;70036
220;Koš vrbový velký modrá látka;70033
221;Koš vypuklý s víkem mořské řasy velký;50031
222;Košík bambusový L;5229
223;Košík bambusový M;5230
224;Košík bambusový XL;5228
225;Košík dělený vodní hyacint;5491
226;Košík kapradina/bambus s uchem XXL;5393
227;Košík kapradina/bambus s uchem XXXL;5392
228;Košík palmový list ryba velikost L;5521
229;Košík průplet vodní hyacint 2 kusy;5550+5551
230;Košík ratanový dělený žlutomodrý;5567
231;Košík ratanový dělený žlutý;5513
